state,operator,total_data,validity,cost,type,internet,facebook,twitter,whatsapp
Orissa,Airtel,1000,28,155,Internet,1000,NA,NA,NA
Punjab,Airtel,750,21,155,Internet,750,NA,NA,NA
UP East,Airtel,525,18,126,Internet,525,NA,NA,NA
Assam,Airtel,1000,28,154,Internet,1000,NA,NA,NA
Jammu and Kashmir,Airtel,1000,28,154,Internet,1000,NA,NA,NA
North East,Airtel,1000,28,154,Internet,1000,NA,NA,NA
North East,Airtel,1000,28,154,Internet,1000,NA,NA,NA
UP East,Airtel,535,18,128,Internet,535,NA,NA,NA
Bihar/Jharkhand,Idea,525,18,125,Internet,525,NA,NA,NA
Bihar/Jharkhand,Airtel,525,18,125,Internet,525,NA,NA,NA
UP West/Uttarakhand,Airtel,750,21,153,Internet,750,NA,NA,NA
Delhi NCR,Airtel,775,21,156,Internet,775,NA,NA,NA
Kerala,Idea,620,21,124,Internet,620,NA,NA,NA
Chennai,Airtel,1000,28,149,Internet,1000,NA,NA,NA
Gujarat,Airtel,750,21,149,Internet,750,NA,NA,NA
Kerala,Airtel,750,21,149,Internet,750,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,750,21,149,Internet,750,NA,NA,NA
Tamil Nadu,Airtel,1000,28,149,Internet,1000,NA,NA,NA
Tamil Nadu,Airtel,1000,28,149,Internet,1000,NA,NA,NA
West Bengal,Airtel,750,21,149,Internet,750,NA,NA,NA
Haryana,Airtel,750,21,147,Internet,750,NA,NA,NA
Orissa,Airtel,500,21,98,Internet,500,NA,NA,NA
Orissa,Airtel,500,21,98,Internet,500,NA,NA,NA
Karnataka,Airtel,550,18,125,Internet,550,NA,NA,NA
Chennai,Airtel,650,21,126,Internet,650,NA,NA,NA
Tamil Nadu,Airtel,650,21,126,Internet,650,NA,NA,NA
Assam,Idea,500,20,98,Internet,500,NA,NA,NA
Assam,Airtel,500,20,98,Internet,500,NA,NA,NA
North East,Idea,500,20,98,Internet,500,NA,NA,NA
North East,Airtel,500,20,98,Internet,500,NA,NA,NA
Orissa,Idea,500,20,98,Internet,500,NA,NA,NA
Karnataka,Idea,300,30,39,FB,NA,300,NA,NA
Jammu and Kashmir,Airtel,500,20,97,Internet,500,NA,NA,NA
Delhi NCR,Reliance,1000,30,127,Internet,1000,NA,NA,NA
Haryana,Reliance,1000,30,127,Internet,1000,NA,NA,NA
Orissa,Reliance,1000,30,127,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
West Bengal,Reliance,1000,30,126,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Kerala,Reliance,1000,30,125,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Tamil Nadu,Idea,1000,30,125,Internet,1000,NA,NA,NA
UP East,Idea,1000,30,125,Internet,1000,NA,NA,NA
Punjab,Airtel,250,10,91,Internet,250,NA,NA,NA
Gujarat,Idea,500,15,121,Internet,500,NA,NA,NA
Kerala,Airtel,625,18,126,Internet,625,NA,NA,NA
Maharashtra/Goa,Airtel,625,18,125,Internet,625,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,625,18,125,Internet,625,NA,NA,NA
Rajasthan,Airtel,625,18,125,Internet,625,NA,NA,NA
Kolkata,Airtel,625,18,124,Internet,625,NA,NA,NA
West Bengal,Airtel,625,18,124,Internet,625,NA,NA,NA
Jammu and Kashmir,Idea,1000,28,125,Internet,1000,NA,NA,NA
Himachal Pradesh,Reliance,1000,28,124,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Punjab,Reliance,1000,28,124,Internet,1000,NA,NA,NA
Gujarat,Airtel,650,18,124,Internet,650,NA,NA,NA
Kerala,Airtel,150,15,33,FB,NA,150,NA,NA
Bihar/Jharkhand,Reliance,650,21,99,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Chennai,Reliance,650,21,99,Internet,650,NA,NA,NA
Gujarat,Reliance,650,21,99,Internet,650,NA,NA,NA
Kolkata,Reliance,650,21,99,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
North East,Reliance,650,21,99,Internet,650,NA,NA,NA
West Bengal,Reliance,650,21,99,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Kerala,Reliance,650,21,98,Internet,650,NA,NA,NA
Kolkata,Idea,200,15,42,FB,NA,200,NA,NA
West Bengal,Idea,200,15,42,FB,NA,200,NA,NA
Kerala,Airtel,450,14,98,Internet,450,NA,NA,NA
Andhra Pradesh,Airtel,525,15,105,Internet,525,NA,NA,NA
UP West/Uttarakhand,Airtel,625,15,125,Internet,625,NA,NA,NA
Jammu and Kashmir,Airtel,150,14,31,FB,NA,150,NA,NA
Maharashtra/Goa,Idea,475,14,98,Internet,475,NA,NA,NA
Jammu and Kashmir,Reliance,750,21,101,Unlimited-FB/Unlimited-TW/Unlimited-WA,NA,NA,NA,NA
Delhi NCR,Airtel,625,14,125,Internet,625,NA,NA,NA
Himachal Pradesh,Idea,500,14,99,Internet,500,NA,NA,NA
Punjab,Reliance,750,21,99,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Punjab,Idea,500,14,99,Internet,500,NA,NA,NA
Bihar/Jharkhand,Idea,500,14,98,Internet,500,NA,NA,NA
Bihar/Jharkhand,Airtel,500,14,98,Internet,500,NA,NA,NA
Chennai,Airtel,500,14,98,Internet,500,NA,NA,NA
Delhi NCR,Idea,500,14,98,Internet,500,NA,NA,NA
Delhi NCR,Airtel,500,14,98,Internet,500,NA,NA,NA
Gujarat,Airtel,500,14,98,Internet,500,NA,NA,NA
Haryana,Idea,500,14,98,Internet,500,NA,NA,NA
Haryana,Airtel,500,14,98,Internet,500,NA,NA,NA
Himachal Pradesh,Airtel,500,14,98,Internet,500,NA,NA,NA
Karnataka,Idea,500,14,98,Internet,500,NA,NA,NA
Karnataka,Airtel,500,14,98,Internet,500,NA,NA,NA
Kolkata,Idea,500,14,98,Internet,500,NA,NA,NA
Kolkata,Airtel,500,14,98,Internet,500,NA,NA,NA
Kolkata,Airtel,500,14,98,Internet,500,NA,NA,NA
Maharashtra/Goa,Airtel,500,14,98,Internet,500,NA,NA,NA
Maharashtra/Goa,Airtel,500,14,98,Internet,500,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Idea,500,14,98,Internet,500,NA,NA,NA
