state,operator,total_data,validity,cost,type,internet,facebook,twitter,whatsapp
Delhi NCR,Airtel,200,4,39,Internet,200,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Idea,100,3,26,Internet,100,NA,NA,NA
Maharashtra/Goa,Idea,150,4,29,Internet,150,NA,NA,NA
Haryana,Reliance,175,5,27,Internet,175,NA,NA,NA
Punjab,Reliance,175,5,27,Internet,175,NA,NA,NA
Maharashtra/Goa,Reliance,200,5,29,Internet,200,NA,NA,NA
Maharashtra/Goa,Idea,70,7,7,FB,NA,70,NA,NA
UP West/Uttarakhand,Idea,70,7,7,FB,NA,70,NA,NA
Orissa,Reliance,1000,12,57,Unlimited-FB/Unlimited-WA,NA,NA,NA,NA
Kerala,Airtel,80,3,18,Internet,80,NA,NA,NA
Punjab,Airtel,100,3,22,Internet,100,NA,NA,NA
Orissa,Airtel,40,2,13,Internet,40,NA,NA,NA
Assam,Airtel,75,3,15,Internet,75,NA,NA,NA
Assam,Airtel,90,3,18,Internet,90,NA,NA,NA
Bihar/Jharkhand,Airtel,125,3,25,Internet,125,NA,NA,NA
Bihar/Jharkhand,Airtel,130,3,26,Internet,130,NA,NA,NA
Chennai,Airtel,85,3,17,Internet,85,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,90,3,18,Internet,90,NA,NA,NA
North East,Airtel,75,3,15,Internet,75,NA,NA,NA
North East,Airtel,90,3,18,Internet,90,NA,NA,NA
Orissa,Airtel,80,3,16,Internet,80,NA,NA,NA
Rajasthan,Idea,120,3,24,Internet,120,NA,NA,NA
West Bengal,Idea,80,3,16,Internet,80,NA,NA,NA
Andhra Pradesh,Reliance,400,7,34,Internet,400,NA,NA,NA
Bihar/Jharkhand,Reliance,400,7,34,Internet,400,NA,NA,NA
Karnataka,Reliance,400,7,34,Internet,400,NA,NA,NA
UP East,Reliance,350,7,29,Internet,350,NA,NA,NA
Andhra Pradesh,Airtel,100,3,19,Internet,100,NA,NA,NA
Assam,Idea,100,3,19,Internet,100,NA,NA,NA
Gujarat,Airtel,100,3,19,Internet,100,NA,NA,NA
Haryana,Idea,100,3,19,Internet,100,NA,NA,NA
Mumbai,Reliance,100,3,19,Internet,100,NA,NA,NA
North East,Idea,100,3,19,Internet,100,NA,NA,NA
UP East,Airtel,100,3,19,Internet,100,NA,NA,NA
Orissa,Idea,80,3,15,Internet,80,NA,NA,NA
Maharashtra/Goa,Reliance,450,7,36,Internet,450,NA,NA,NA
Kolkata,Reliance,100,3,18,Internet,100,NA,NA,NA
Kolkata,Reliance,350,7,27,Internet,350,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Reliance,100,3,18,Internet,100,NA,NA,NA
West Bengal,Reliance,100,3,18,Internet,100,NA,NA,NA
West Bengal,Reliance,350,7,27,Internet,350,NA,NA,NA
Delhi NCR,Reliance,1000,10,51,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Tamil Nadu,Airtel,100,3,17,Internet,100,NA,NA,NA
Jammu and Kashmir,Reliance,500,7,36,Internet,500,NA,NA,NA
Delhi NCR,Airtel,150,3,25,Internet,150,NA,NA,NA
Karnataka,Airtel,60,2,15,Internet,60,NA,NA,NA
Mumbai,Reliance,450,7,31,Internet,450,NA,NA,NA
Delhi NCR,Airtel,75,2,18,Internet,75,NA,NA,NA
Delhi NCR,Airtel,100,2,23,Internet,100,NA,NA,NA
Gujarat,Reliance,450,6,34,Internet,450,NA,NA,NA
Jammu and Kashmir,Idea,100,3,15,Internet,100,NA,NA,NA
Kolkata,Reliance,1000,10,45,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Tamil Nadu,Idea,100,3,15,Internet,100,NA,NA,NA
West Bengal,Reliance,1000,10,45,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Haryana,Reliance,130,3,19,Internet,130,NA,NA,NA
Himachal Pradesh,Reliance,130,3,19,Internet,130,NA,NA,NA
Punjab,Reliance,130,3,19,Internet,130,NA,NA,NA
UP West/Uttarakhand,Airtel,90,2,19,Internet,90,NA,NA,NA
Chennai,Reliance,100,3,14,Internet,100,NA,NA,NA
Gujarat,Reliance,100,3,14,Internet,100,NA,NA,NA
Jammu and Kashmir,Reliance,100,3,14,Internet,100,NA,NA,NA
Kerala,Reliance,100,3,14,Internet,100,NA,NA,NA
Rajasthan,Reliance,130,2,27,Internet,130,NA,NA,NA
Rajasthan,Reliance,1000,8,51,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Bihar/Jharkhand,Airtel,85,2,17,Internet,85,NA,NA,NA
Maharashtra/Goa,Airtel,70,2,14,Internet,70,NA,NA,NA
Mumbai,Idea,85,2,17,Internet,85,NA,NA,NA
Mumbai,Airtel,85,2,17,Internet,85,NA,NA,NA
West Bengal,Airtel,90,2,18,Internet,90,NA,NA,NA
Andhra Pradesh,Reliance,100,3,13,Internet,100,NA,NA,NA
Maharashtra/Goa,Reliance,150,3,19,Internet,150,NA,NA,NA
Maharashtra/Goa,Idea,100,2,19,Internet,100,NA,NA,NA
Rajasthan,Airtel,100,2,19,Internet,100,NA,NA,NA
Assam,Reliance,150,3,18,Internet,150,NA,NA,NA
Gujarat,Reliance,50,2,9,Internet,50,NA,NA,NA
North East,Reliance,150,3,18,Internet,150,NA,NA,NA
UP East,Reliance,125,3,15,Internet,125,NA,NA,NA
UP West/Uttarakhand,Reliance,125,3,15,Internet,125,NA,NA,NA
UP West/Uttarakhand,Reliance,600,7,29,Internet,600,NA,NA,NA
Punjab,Reliance,400,5,27,Internet,400,NA,NA,NA
Maharashtra/Goa,Idea,3,1,1,FB,NA,3,NA,NA
UP West/Uttarakhand,Idea,3,1,1,FB,NA,3,NA,NA
UP West/Uttarakhand,Idea,3,1,1,TW,NA,NA,3,NA
Gujarat,Reliance,1000,7,47,Internet,1000,NA,NA,NA
North East,Reliance,85,2,13,Internet,85,NA,NA,NA
Delhi NCR,Reliance,150,3,14,Internet,150,NA,NA,NA
Rajasthan,Airtel,20,1,5,Internet,20,NA,NA,NA
Delhi NCR,Reliance,325,3,27,Internet,325,NA,NA,NA
Kerala,Airtel,35,1,8,Internet,35,NA,NA,NA
Rajasthan,Reliance,750,5,33,Internet,750,NA,NA,NA
Haryana,Reliance,1000,7,31,Internet,1000,NA,NA,NA
Kerala,Reliance,1000,7,31,Internet,1000,NA,NA,NA
Assam,Airtel,35,1,7,Internet,35,NA,NA,NA
Bihar/Jharkhand,Airtel,45,1,9,Internet,45,NA,NA,NA
Delhi NCR,Reliance,25,1,5,Internet,25,NA,NA,NA
Maharashtra/Goa,Airtel,25,1,5,Internet,25,NA,NA,NA
North East,Airtel,35,1,7,Internet,35,NA,NA,NA
Orissa,Airtel,45,1,9,Internet,45,NA,NA,NA
Rajasthan,Airtel,35,1,7,Internet,35,NA,NA,NA
Delhi NCR,Reliance,1000,5,39,Internet,1000,NA,NA,NA
Haryana,Reliance,30,1,5,Internet,30,NA,NA,NA
Himachal Pradesh,Reliance,30,1,5,Internet,30,NA,NA,NA
Karnataka,Reliance,30,1,5,Internet,30,NA,NA,NA
Kerala,Reliance,30,1,5,Internet,30,NA,NA,NA
Punjab,Reliance,30,1,5,Internet,30,NA,NA,NA
West Bengal,Reliance,30,1,5,Internet,30,NA,NA,NA
Rajasthan,Reliance,120,1,18,Internet,120,NA,NA,NA
Orissa,Reliance,1000,5,27,Internet,1000,NA,NA,NA
Orissa,Reliance,1000,3,18,Internet,1000,NA,NA,NA
Delhi NCR,Reliance,1000,2,25,Internet,1000,NA,NA,NA
